10000|2577|Public
5|$|<b>Limited</b> <b>Edition</b> Tour CD (2000), <b>Limited</b> <b>edition</b> EP {{given out}} at live shows. Includes three studio tracks and three live tracks.|$|E
5|$|The first <b>limited</b> <b>edition</b> DVD for Clannad After Story {{ranked second}} {{during its first}} week of sales selling 17,521 units. The second through fourth <b>limited</b> <b>edition</b> DVDs for Clannad After Story ranked first during their first week of sales each selling over 16,000 units each. The fifth through seventh <b>limited</b> <b>edition</b> DVDs for Clannad After Story ranked first during their first week of sales selling over 14,000 units each. The eighth <b>limited</b> <b>edition</b> DVD for Clannad After Story ranked second during its first week of sales selling over 19,800 units. The sixth <b>limited</b> <b>edition</b> DVD volume ranked again the week of May 11 and May 17, 2009 at number three for anime DVDs. The seventh <b>limited</b> <b>edition</b> DVD volume ranked again the week of June 8 and June 14, 2009 at number six for anime DVDs. The eighth <b>limited</b> <b>edition</b> DVD volume ranked again the week of July 6 and July 12, 2009 at number five for anime DVDs.|$|E
5|$|Nine DVD volumes, each {{containing}} three {{episodes of}} the anime, {{have been released}} in Japan by Avex Trax. In addition, five <b>limited</b> <b>edition</b> sets have been released. The first <b>limited</b> <b>edition</b> set contains the first DVD volume, while the other four sets each contain two DVD volumes. The latest <b>limited</b> <b>edition</b> set and volumes were released on March 26, 2008. On February 15, 2008, Funimation announced that it has acquired the Region 1 DVD and broadcast licenses for the anime, and it released all series in six volumes in North America between fall 2008 and summer 2009.|$|E
50|$|The single was {{released}} in four versions: three <b>limited</b> <b>editions</b> (<b>Limited</b> <b>Editions</b> A, B, and C) and a regular edition.|$|R
5000|$|Between 1930 and 1942, Merrymount Press {{published}} eight {{books for}} The <b>Limited</b> <b>Editions</b> Club, a publisher of fine bindings. The <b>Limited</b> <b>Editions</b> Club issued just 1,500 copies per title and was {{available only to}} subscribing members. Merrymount also printed The <b>Limited</b> <b>Editions</b> Club’s first prospectus, issued as a hardcover book.|$|R
50|$|The single was {{released}} in 5 versions: Type A Regular and <b>Limited</b> <b>editions,</b> Type B Regular and <b>Limited</b> <b>editions,</b> and a Theater Edition.|$|R
5|$|The two anime {{series and}} film DVDs have shown {{consistent}} high sales figures. The first anime <b>limited</b> <b>edition</b> DVD ranked third {{for the week}} of December 19 and December 25, 2007. The second through fifth <b>limited</b> <b>edition</b> DVDs all ranked first during their first week of sales, while the sixth <b>limited</b> <b>edition</b> DVD volume was ranked fourth for the week of May 21 and May 27, 2008. The seventh and eighth <b>limited</b> <b>edition</b> DVD volumes both ranked first during their first week of sales. The third <b>limited</b> <b>edition</b> DVD ranked sixth for the most anime DVDs sold between December 2007 and November 2008. A Blu-ray Disc box set of Clannad ranked third for the week of April 26 and May 2, 2010, and ranked again at 13 the following week. The special edition film DVD first ranked at number three during its first week of sales, and dropped down to number 10 the following week.|$|E
5|$|There is a <b>limited</b> <b>edition</b> {{cassette}} of the album.|$|E
5|$|A free game demo of Otome wa Boku ni Koishiteru can be {{downloaded}} at the game's official website. The game was released as an adult game on January 28, 2005 as a <b>limited</b> <b>edition,</b> playable on a Windows PC as a 2-disc CD-ROM set. The <b>limited</b> <b>edition</b> came bundled with a special story book entitled Tsunderera. The regular edition was released on February 18, 2005, and one select lot of this version contained a <b>limited</b> <b>edition</b> sticker. An updated version with full voice acting was released on April 28, 2006 as a DVD. Another updated version compatible for Windows Vista/7 was released on May 27, 2011. The Windows version of Otoboku was released in English by MangaGamer on November 23, 2012.|$|E
5000|$|The single was {{released}} in both CD and CD+DVD <b>editions,</b> with <b>limited</b> <b>editions</b> of each. <b>Limited</b> <b>editions</b> contained one bonus track: a remix of [...] "Ai no Uta." ...|$|R
5000|$|... #Subtitle level 3: <b>Limited</b> Pokémon <b>Edition</b> (<b>Limited</b> A <b>Edition)</b> ...|$|R
50|$|The single was {{released}} in four versions: <b>Limited</b> <b>Editions</b> A, B, C, and D and a regular edition. Each edition has a different cover. All the <b>limited</b> <b>editions</b> came with a sealed-in serial-numbered entry card for the lottery to win a ticket {{to one of the}} single's launch events. The <b>limited</b> <b>editions</b> A, B, and C included a bonus DVD.|$|R
5|$|In December 2009, France Post {{released}} a special <b>limited</b> <b>edition</b> stamp based on Avatar, {{coinciding with the}} film's worldwide release.|$|E
5|$|In North America (Region 1), {{the series}} was {{released}} by Funimation Entertainment across six DVD volumes containing four episodes each, with English and Japanese audio tracks and English subtitles from September 26, 2006 through April 24, 2007. Similar to the release in Japan, each volume was made available in regular and <b>limited</b> <b>edition</b> versions. The regular editions have standard keep case covers, whereas the limited editions come in digipaks with slipcovers. The <b>limited</b> <b>edition</b> of each volume includes insert booklets and tarot cards that showcase original art and additional series information; the first volume's <b>limited</b> <b>edition</b> comes with a series box. Most of the volumes include cultural and historical notes as well. In November 13, 2007, {{the series was}} released in a complete box set, which includes tarot cards and four <b>limited</b> <b>edition</b> insert booklets. Six days later, Funimation began re-releasing the individual volumes {{as part of its}} value-priced Viridian Collection. On March 23, 2010, the entire series was released in a single Blu-ray collection.|$|E
5|$|In the United Kingdom, Monopoly {{publisher}} Waddingtons produced {{its first}} non-London edition in 1989, creating a <b>Limited</b> <b>Edition</b> based on Leeds as a charity fundraiser.|$|E
50|$|The single is {{released}} in three versions, {{the first two}} being <b>limited</b> <b>editions</b> and a regular <b>edition.</b> Both <b>limited</b> <b>editions</b> contain 4 tracks with the regular version includes a third extra soundtrack.|$|R
5000|$|The single came in CD and CD+DVD, with <b>limited</b> <b>editions</b> for both. The <b>limited</b> <b>editions</b> {{contained}} a fold-out promotional poster. The CD+DVD version harbored instrumentals {{for the four}} tracks on the single, while the CD only carried remixes.|$|R
50|$|The {{album was}} {{released}} in three versions: Regular <b>Edition</b> and <b>Limited</b> <b>Editions</b> A and B. The regular edition is CD-only, both <b>limited</b> <b>editions</b> include a DVD. All editions will include a randomly seeded trading card (of 5 types total).|$|R
5|$|Little Busters! Ecstasy was {{released}} as a <b>limited</b> <b>edition</b> version on July 25, 2008 as two DVDs playable {{only on a}} Windows PC; the regular edition followed on September 26, 2008. The <b>limited</b> <b>edition</b> came bundled with a remix album of music featured in the game, and a 22-minute length CD containing a special broadcast of the Little Busters! Internet radio show. An updated version, 1.01, for the <b>limited</b> <b>edition</b> of Ecstasy {{was released}} by Key for free on their website on September 22, 2008; the regular edition of Ecstasy contains this update. An all ages version of Ecstasy for Windows was released by Key on July 31, 2009 in a box set containing five other Key visual novels called Key 10th Memorial Box.|$|E
