10000|10000|Public
5|$|For a {{comprehensive}} <b>list</b> <b>of</b> the 1967 Basement Tapes session recordings, see <b>List</b> <b>of</b> Basement Tapes songs. See also <b>List</b> <b>of</b> Basement Tapes songs (1975).|$|E
5|$|<b>List</b> <b>of</b> {{places in}} Carmarthenshire for an {{alphabetical}} <b>list</b> <b>of</b> towns and villages.|$|E
5|$|This is a <b>list</b> <b>of</b> some of Sherwood's most {{important}} works. For {{a more complete}} <b>list</b> <b>of</b> her works that includes her many chapbooks and religious tracts, see the <b>list</b> <b>of</b> works by Mary Martha Sherwood.|$|E
40|$|Contains <b>lists</b> <b>of</b> members, {{arranged}} alphabetically and geographically; also <b>lists</b> <b>of</b> {{officers and}} committees, local chapters, constitution, past officers, and calendar of past meetings. "Description based on: 1916 "Contains <b>lists</b> <b>of</b> members, arranged alphabetically and geographically; also <b>lists</b> <b>of</b> officers and committees, local chapters, constitution, past officers, and calendar of past meetings. "Mode <b>of</b> access: Internet. <b>Lists</b> <b>of</b> members, officers and committees are included {{later in the}} society's Roll of membership...|$|R
5|$|For more <b>lists</b> <b>of</b> this type, see <b>Lists</b> <b>of</b> incumbents.|$|R
5000|$|<b>Lists</b> <b>of</b> golfers - <b>lists</b> <b>of</b> {{professional}} (and amateur) golfers ...|$|R
5|$|This is a {{selective}} <b>list</b> <b>of</b> Magle's major works, including all {{that have been}} recorded as of 2014. For a complete <b>list</b> <b>of</b> his works, see <b>List</b> <b>of</b> compositions by Frederik Magle.|$|E
5|$|A <b>list</b> <b>of</b> Puw's major compositions.|$|E
5|$|A <b>list</b> <b>of</b> Stainer's more {{prominent}} works is provided below.|$|E
50|$|Wikipedians in Japanese Wikipedia {{generally}} do not create independent <b>lists</b> <b>of</b> volumes of manga, or episodes of anime, however there are exceptions, e.g. :ja:Q.E.D. 証明終了のエピソード一覧 and :ja:ONE PIECE (アニメ) のエピソード一覧. Articles about manga works usually do not contain <b>lists</b> <b>of</b> chapters. Also <b>lists</b> <b>of</b> episodes of anime embedded in related articles and independent <b>lists</b> <b>of</b> episodes of anime do not contain plot synopsis.|$|R
40|$|Bibliographies of English {{language}} and literature, <b>lists</b> <b>of</b> {{new members of}} the association, and <b>lists</b> <b>of</b> publications of the association are included. Description based on: No. 33 (Dec. 1917); title from cover. Bibliographies of English {{language and}} literature, <b>lists</b> <b>of</b> new members of the association, and <b>lists</b> <b>of</b> publications of the association are included. Mode of access: Internet. Merged with: Pamphlet (English Association : 1913); to form: English...|$|R
