10000|7298|Public
5|$|He {{opened an}} old English-inspired <b>pub</b> called the Hog's Breath Inn in Carmel-by-the-Sea, California in 1971. Eastwood sold the <b>pub</b> and now owns the Mission Ranch Hotel and Restaurant in Carmel-by-the-Sea.|$|E
5|$|In 1952, {{the naturalist}} David Attenborough {{and his wife}} Jane bought a house {{situated}} between the former Mayfield Cottages (which still stand today) and the Hole in the Wall <b>pub.</b> The <b>pub</b> closed in 2007 and fell into dereliction but was bought by Attenborough in 2009 to be redeveloped.|$|E
5|$|On 18 December 1998, the Wetherspoon's <b>pub</b> chain opened The William Stanley on the High Street in South Norwood. It is a 19th-century {{style of}} building, with a {{portrait}} of Stanley inside, as well as pictures of other Norwood notables (Lillie Langtry, H. Tinsley (another scientific instrument maker), Samuel Coleridge-Taylor and John Brock). This <b>pub</b> was closed in 2016 and has re-opened as the Shelverdine Goathouse. The William Stanley <b>pub</b> sign and memorabilia from the <b>pub</b> were donated to Stanley Halls where they are on show.|$|E
25|$|<b>Pubs</b> {{that cater}} for a niche clientele, such as sports fans or people of certain nationalities {{are known as}} theme <b>pubs.</b> Examples of theme <b>pubs</b> include sports bars, rock <b>pubs,</b> biker <b>pubs,</b> Goth <b>pubs,</b> strip <b>pubs,</b> karaoke bars and Irish <b>pubs.</b>|$|R
25|$|The {{reformed}} <b>pubs</b> started {{just after}} 1900 - large 'family' <b>pubs</b> intended {{to replace the}} workers' and drinking men's <b>pubs</b> of the previous century. Such <b>pubs</b> included The Black Horse on the Bristol Road in Northfield which was completed in 1929.|$|R
5000|$|Firkin <b>pubs</b> in Canada and the United States {{operate under}} the Firkin Group Of <b>Pubs</b> {{franchise}}, a chain of English theme <b>pubs</b> founded in Ontario, Canada in 1987. The naming scheme for the <b>pubs</b> {{is similar to that}} of the UK chain (for example, [...] "The Crown and Firkin", in Whitby, Ontario, Canada), and many Firkin Group <b>pubs</b> in fact share their names with former UK Firkin Brewery <b>pubs.</b> In the United States, the franchise <b>pubs</b> are named with [...] "Firkin" [...] first, as in [...] "The Firkin & Fox" [...] as opposed to [...] "The Fox & Firkin".|$|R
5|$|On 27 October 1998, a J D Wetherspoon <b>pub</b> named The Angel {{opened at}} 3 Islington High Street, {{adjacent}} to the former <b>pub</b> building. It stands {{on the part of}} the original Angel Inn site that was redeveloped as shops in 1820.|$|E
5|$|<b>Pub</b> – The White Horse in {{the village}} centre is a popular <b>pub</b> across the island. It {{suffered}} a fire in 1987, then again 20 years later in 2007 which saw its temporary closure. Prior to the two fires, the <b>pub</b> was thatched, however after the fire in 2007, a tiled roof was built, {{in an attempt to}} prevent future fires.|$|E
5|$|Steinitz Chess Champion by Landsberger, McFarland <b>pub.</b>|$|E
50|$|Several of the <b>pubs</b> {{designed}} by Sewell have been listed by Historic England and four <b>pubs</b> {{designed by}} him {{were included in}} the 19 inter-war <b>pubs</b> listed in August 2015.|$|R
5000|$|Samuel Smith's <b>pubs</b> {{are found}} {{in a variety of}} locations, {{including}} rural, suburban, inner-city and city-centre ones. There are over 20 <b>pubs</b> in central London. Irrespective of the location, the <b>pubs</b> are maintained in a traditional manner. Most <b>pubs</b> incorporate multiple bars and rooms, often with a spartan public bar and a more plush lounge.|$|R
5000|$|Because of its {{industrial}} and commercial history, the Surry Hills area contains {{a significant number}} of <b>pubs.</b> The style of <b>pubs</b> range from the Victorian period to Federation and Art Deco <b>pubs</b> from the mid-1900s. Many of these have been refurbished in recent years to include restaurants and modern facilities. Some of the more popular <b>pubs</b> in Surry Hills include: ...|$|R
5|$|Steinitz Papers by Soltis, McFarland <b>pub.</b>|$|E
5|$|The <b>pub</b> {{also has}} a lawned <b>pub</b> garden {{to the north and}} a car park to the south. The car park has a {{covenant}} that prevents it from being built upon, with underground channels, cables and pipes, and an adjacent substation. A well is also located in the rear yard of the <b>pub,</b> one of a number in the immediate area.|$|E
5|$|A P J Abdul Kalam: The Visionary of India by K Bhushan, G Katyal; A P H <b>Pub</b> Corp, 2002.|$|E
50|$|Brewers Fayre is a pub-restaurant brand {{which was}} created in 1979. The <b>pubs</b> are {{designed}} to look and feel like traditional local <b>pubs</b> but with a particularly strong family presence. There are around 145 <b>pubs</b> across the country.|$|R
50|$|In May 2012, Heaton {{set off on}} his 50/50 cycle tour of British and Irish <b>pubs,</b> {{promoting}} his latest album, British <b>pubs</b> and cycling. He covered 2500 miles miles for each year he'd been on the planet , stopping at <b>pubs</b> in England, Scotland, Wales and Ireland.|$|R
5000|$|Only tenants of pubcos {{which have}} more than 500 <b>pubs</b> are covered by the <b>Pubs</b> Code Regulations. The {{regulated}} pubcos are:- ...|$|R
